No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
54,08:26:30,29.910,54.450,52.500,39.710,38.350,30.680,0.880,16.905,17.765,0.594,0.885,567.200,828.200,1.460,10.034,15.720,0.649,0.967,20.642,21.584,0.749,0.753,10.042,15.722,0.189,9.367,10.044,0.018,4155.000,66.912,42.747,9.367,52.791,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
55,08:27:00,29.930,54.530,52.580,39.730,38.370,30.690,0.884,16.901,17.764,0.596,0.889,569.200,831.600,1.461,10.066,15.784,0.651,0.971,20.637,21.583,0.749,0.753,10.073,15.792,0.189,9.363,10.048,0.018,4155.000,67.216,42.766,9.363,52.814,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
56,08:27:30,29.940,54.620,52.670,39.760,38.390,30.690,0.890,16.895,17.762,0.598,0.893,571.800,835.900,1.462,10.107,15.863,0.654,0.976,20.631,21.582,0.749,0.753,10.103,15.861,0.189,9.349,10.040,0.018,4155.000,67.672,42.835,9.349,52.875,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
57,08:28:00,29.950,54.730,52.780,39.790,38.430,30.700,0.896,16.889,17.760,0.601,0.898,574.800,840.800,1.463,10.156,15.954,0.657,0.982,20.624,21.579,0.750,0.753,10.150,15.948,0.189,9.343,10.036,0.018,4155.000,68.129,42.872,9.343,52.908,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
58,08:28:30,29.970,54.850,52.900,39.850,38.480,30.700,0.903,16.881,17.757,0.605,0.904,578.000,846.100,1.464,10.207,16.051,0.661,0.988,20.616,21.576,0.749,0.753,10.213,16.052,0.189,9.349,10.038,0.018,4155.000,68.661,42.936,9.349,52.975,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
59,08:29:00,29.980,54.990,53.030,39.910,38.540,30.710,0.909,16.873,17.753,0.608,0.909,581.200,851.300,1.465,10.257,16.146,0.664,0.994,20.607,21.572,0.750,0.753,10.259,16.137,0.189,9.339,10.030,0.018,4155.000,69.117,42.958,9.339,52.988,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
60,08:29:30,29.990,55.150,53.180,39.980,38.600,30.710,0.916,16.864,17.749,0.611,0.915,584.100,856.100,1.466,10.302,16.232,0.668,0.999,20.597,21.568,0.749,0.753,10.304,16.240,0.189,9.334,10.037,0.018,4155.000,69.649,43.046,9.334,53.083,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
61,08:30:00,30.010,55.300,53.320,40.060,38.670,30.720,0.921,16.855,17.745,0.613,0.919,586.500,860.100,1.467,10.337,16.304,0.670,1.004,20.587,21.563,0.749,0.753,10.332,16.308,0.189,9.321,10.032,0.018,4155.000,70.030,43.080,9.321,53.111,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
62,08:30:30,30.020,55.460,53.470,40.130,38.740,30.730,0.925,16.846,17.741,0.615,0.922,588.300,863.300,1.468,10.362,16.360,0.672,1.008,20.578,21.558,0.749,0.753,10.360,16.357,0.189,9.318,10.025,0.018,4155.000,70.334,43.106,9.318,53.131,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
63,08:31:00,30.040,55.610,53.610,40.210,38.800,30.730,0.928,16.838,17.737,0.616,0.925,589.500,865.600,1.468,10.376,16.399,0.674,1.010,20.568,21.554,0.748,0.753,10.372,16.407,0.189,9.309,10.029,0.018,4155.000,70.562,43.131,9.309,53.160,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
64,08:31:30,30.050,55.750,53.730,40.270,38.860,30.740,0.930,16.830,17.733,0.617,0.926,590.200,867.300,1.469,10.383,16.425,0.674,1.012,20.559,21.550,0.749,0.753,10.384,16.421,0.189,9.309,10.018,0.018,4155.000,70.714,43.139,9.309,53.157,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
65,08:32:00,30.070,55.870,53.850,40.330,38.910,30.750,0.932,16.823,17.730,0.617,0.928,590.700,868.500,1.470,10.386,16.445,0.675,1.014,20.552,21.546,0.749,0.753,10.380,16.453,0.189,9.297,10.024,0.018,4155.000,70.866,43.172,9.297,53.196,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
66,08:32:30,30.080,55.970,53.940,40.370,38.960,30.750,0.933,16.817,17.727,0.618,0.929,591.100,869.700,1.471,10.389,16.464,0.675,1.015,20.545,21.543,0.749,0.753,10.393,16.468,0.189,9.303,10.019,0.018,4155.000,70.942,43.159,9.303,53.178,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
67,08:33:00,30.100,56.050,54.020,40.410,38.990,30.760,0.935,16.812,17.725,0.618,0.930,591.800,871.200,1.472,10.397,16.491,0.676,1.017,20.540,21.541,0.749,0.753,10.390,16.484,0.189,9.289,10.011,0.018,4155.000,71.094,43.177,9.289,53.188,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
68,08:33:30,30.120,56.110,54.090,40.430,39.020,30.770,0.938,16.808,17.724,0.620,0.933,592.900,873.500,1.473,10.414,16.532,0.677,1.019,20.536,21.539,0.749,0.753,10.421,16.536,0.189,9.300,10.017,0.018,4155.000,71.322,43.202,9.300,53.218,ON,Mostly clear; Hybrid loop operating; Ceff=1.47x
